name,episodes
Suzumiya Haruhi no Shoushitsu,1
Howl no Ugoku Shiro,1
Sen to Chihiro no Kamikakushi,1
Mononoke Hime,1
Mushishi Zoku Shou: Suzu no Shizuku,1
Koe no Katachi,1
Kimi no Na wa.,1
Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,1
Ookami Kodomo no Ame to Yuki,1
Kizumonogatari II: Nekketsu-hen,1
