name,rating
Taka no Tsume 8: Yoshida-kun no X-Files,10.0
Spoon-hime no Swing Kitchen,9.6
Mogura no Motoro,9.5
Kimi no Na wa.,9.37
Kahei no Umi,9.33
Fullmetal Alchemist: Brotherhood,9.26
Yakusoku: Africa Mizu to Midori,9.25
Gintama°,9.25
Steins;Gate,9.17
Gintama&#039;,9.16
